,2000,2002,2003,2004,2005,2006,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46
Alaska,2.00,2.00,2.00,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08
Arizona,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Arkansas,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.16,2.16,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
California,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66
Colorado,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.33,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
Connecticut,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01
Delaware,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
District of Columbia,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24
Florida,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Georgia,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Hawaii,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13
Idaho,1.50,1.50,1.50,1.50,1.50,1.00,1.33,1.33,1.33,1.33,1.33,1.38,1.55,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Illinois,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,3.18
Indiana,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.63,1.63,1.65,1.65,1.65,1.65,1.65,1.63,1.63,1.63
Iowa,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
Kansas,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Kentucky,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
Louisiana,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17
Maine,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
Maryland,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22
Massachusetts,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55
Michigan,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.65,1.65,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17
Minnesota,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80
Mississippi,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Missouri,3.00,3.00,3.00,3.00,3.00,3.00,1.50,1.50,1.50,1.50,1.50,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55
Montana,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.33,1.33,1.33,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48
Nebraska,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2.00,2.00,2.00,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18
Nevada,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
New Hampshire,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,3.00,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23
New Jersey,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
New Mexico,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
New York,1.00,1.33,1.33,1.00,1.00,1.00,1.00,1.00,1.00,1.33,1.33,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54
North Carolina,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
North Dakota,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.75,1.75,1.75,1.75
Ohio,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11
Oklahoma,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10
Oregon,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Pennsylvania,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Rhode Island,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66
South Carolina,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,2.00,2.00,2.00,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13
South Dakota,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
Tennessee,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
Texas,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Utah,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Vermont,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.18,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17
Virginia,1.00,1.00,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48
Washington,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.12,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15
West Virginia,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Wisconsin,1.85,1.85,1.85,1.85,1.85,1.85,1.85,3.00,3.00,1.50,1.50,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56
Wyoming,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,2.05,2.05